"[0.0, 0.0, 0.0]"
"[0.00774015998467803, -0.00284078367985785, 0.005624731071293354]"
"[0.01797267608344555, -0.0065530226565897465, 0.01319500245153904]"
"[0.027722368016839027, -0.010122943669557571, 0.02040253020823002]"
"[0.03632260113954544, -0.013625847175717354, 0.027352651581168175]"
"[0.0438116081058979, -0.017276152968406677, 0.03469632565975189]"
"[0.050385184586048126, -0.02105051837861538, 0.042768094688653946]"
"[0.05620688199996948, -0.02479482814669609, 0.051512788981199265]"
"[0.06140805780887604, -0.02837533690035343, 0.060641419142484665]"
"[0.06610759347677231, -0.0317189060151577, 0.06982190907001495]"
"[0.07041004300117493, -0.03480406850576401, 0.07877960056066513]"
"[0.07439788430929184, -0.03763860836625099, 0.08732397854328156]"
"[0.07812776416540146, -0.04024332016706467, 0.0953553095459938]"
"[0.08161772042512894, -0.042703766375780106, 0.10281870514154434]"
"[0.08486680686473846, -0.045133426785469055, 0.10969512164592743]"
"[0.08788605034351349, -0.04757702350616455, 0.11600968986749649]"
"[0.09068619459867477, -0.05005190521478653, 0.1218094527721405]"
"[0.09327621757984161, -0.0525650829076767, 0.1271522492170334]"
"[0.09566552937030792, -0.05512036755681038, 0.13209758698940277]"
"[0.09786589443683624, -0.05772145837545395, 0.13670027256011963]"
"[0.0998917669057846, -0.06037170812487602, 0.14100922644138336]"
"[0.10176160931587219, -0.06307458132505417, 0.1450657695531845]"
"[0.1034945398569107, -0.06583282351493835, 0.14890648424625397]"
"[0.10510822385549545, -0.0686480700969696, 0.15256385505199432]"
"[0.1066184937953949, -0.07152065634727478, 0.15606635808944702]"
"[0.10803926736116409, -0.07444926351308823, 0.15943895280361176]"
"[0.10938271880149841, -0.07743090391159058, 0.1627037227153778]"
"[0.11065955460071564, -0.08046301454305649, 0.16587966680526733]"
"[0.11187916994094849, -0.08354299515485764, 0.16898365318775177]"
"[0.11304862797260284, -0.08666688203811646, 0.17203010618686676]"
"[0.11417295038700104, -0.08982940763235092, 0.17503002285957336]"
"[0.11525604873895645, -0.0930248498916626, 0.1779906153678894]"
"[0.11630105972290039, -0.09624765813350677, 0.1809162199497223]"
"[0.11731045693159103, -0.09949272871017456, 0.1838095635175705]"
"[0.11828600615262985, -0.10275524109601974, 0.18667232990264893]"
"[0.11922906339168549, -0.1060306653380394, 0.18950575590133667]"
"[0.12014065682888031, -0.10931478440761566, 0.1923108994960785]"
"[0.12102160602807999, -0.11260370910167694, 0.19508856534957886]"
"[0.12187255918979645, -0.11589372903108597, 0.19783920049667358]"
"[0.12269403785467148, -0.11918123811483383, 0.20056265592575073]"
"[0.12348642945289612, -0.12246277183294296, 0.20325832068920135]"
"[0.12424992024898529, -0.12573513388633728, 0.20592555403709412]"
"[0.12498456984758377, -0.12899526953697205, 0.2085637003183365]"
"[0.125690296292305, -0.13224029541015625, 0.2111721783876419]"
"[0.12636692821979523, -0.1354675441980362, 0.21375036239624023]"
"[0.12701423466205597, -0.1386745274066925, 0.21629759669303894]"
"[0.12763191759586334, -0.14185893535614014, 0.2188131958246231]"
"[0.12802357971668243, -0.14623437821865082, 0.22094900906085968]"
"[0.12838846445083618, -0.15006639063358307, 0.22333776950836182]"
"[0.12876039743423462, -0.1530366837978363, 0.22589588165283203]"
"[0.12913212180137634, -0.15532565116882324, 0.22846272587776184]"
"[0.129514679312706, -0.15714994072914124, 0.23094359040260315]"
"[0.12991760671138763, -0.15866127610206604, 0.23329636454582214]"
"[0.1303437054157257, -0.15995454788208008, 0.23551851511001587]"
"[0.13079077005386353, -0.16108909249305725, 0.23762720823287964]"
"[0.13124769926071167, -0.1621374636888504, 0.23964349925518036]"
