SensorPart.LEFT_LOWER_ARM qW, SensorPart.LEFT_LOWER_ARM qX, SensorPart.LEFT_LOWER_ARM qY, SensorPart.LEFT_LOWER_ARM qZ, SensorPart.RIGHT_LOWER_ARM qW, SensorPart.RIGHT_LOWER_ARM qX, SensorPart.RIGHT_LOWER_ARM qY, SensorPart.RIGHT_LOWER_ARM qZ, SensorPart.LEFT_LOWER_LEG qW, SensorPart.LEFT_LOWER_LEG qX, SensorPart.LEFT_LOWER_LEG qY, SensorPart.LEFT_LOWER_LEG qZ, SensorPart.RIGHT_LOWER_LEG qW, SensorPart.RIGHT_LOWER_LEG qX, SensorPart.RIGHT_LOWER_LEG qY, SensorPart.RIGHT_LOWER_LEG qZ, SensorPart.HEAD qW, SensorPart.HEAD qX, SensorPart.HEAD qY, SensorPart.HEAD qZ, SensorPart.WAIST qW, SensorPart.WAIST qX, SensorPart.WAIST qY, SensorPart.WAIST qZ, SensorPart.LEFT_LOWER_ARM accX, SensorPart.LEFT_LOWER_ARM accY, SensorPart.LEFT_LOWER_ARM accZ, SensorPart.RIGHT_LOWER_ARM accX, SensorPart.RIGHT_LOWER_ARM accY, SensorPart.RIGHT_LOWER_ARM accZ, SensorPart.LEFT_LOWER_LEG accX, SensorPart.LEFT_LOWER_LEG accY, SensorPart.LEFT_LOWER_LEG accZ, SensorPart.RIGHT_LOWER_LEG accX, SensorPart.RIGHT_LOWER_LEG accY, SensorPart.RIGHT_LOWER_LEG accZ, SensorPart.HEAD accX, SensorPart.HEAD accY, SensorPart.HEAD accZ, SensorPart.WAIST accX, SensorPart.WAIST accY, SensorPart.WAIST accZ, 
0.5575403571128845, -0.09251128882169724, -0.4679358899593353, 0.6794309616088867, 0.3132469356060028, -0.2805447280406952, 0.6660162806510925, -0.6161114573478699, 0.969859778881073, 0.13822348415851593, 0.19125279784202576, 0.060734398663043976, 0.9556959271430969, 0.048801012337207794, -0.20073285698890686, -0.20969055593013763, 0.9995512962341309, 0.0013248977484181523, 0.0004751787637360394, 0.029921481385827065, 0.9997249841690063, 0.008568622171878815, 0.016640139743685722, -0.01413106918334961, 25.79330062866211, -4.633616924285889, -4.530124187469482, -24.7166690826416, -0.7001292109489441, 8.119153022766113, -4.466220855712891, 11.051959991455078, -1.803650975227356, 5.5628662109375, 13.97881031036377, -1.23670494556427, 1.2491120100021362, 13.134169578552246, 4.370932102203369, 2.8046340942382812, 14.636520385742188, 2.507309913635254, 
0.59197598695755, -0.10781089216470718, -0.47019678354263306, 0.6456440687179565, 0.34850722551345825, -0.2875969409942627, 0.6740506887435913, -0.5843683481216431, 0.9716116189956665, 0.12309489399194717, 0.19045278429985046, 0.06742621213197708, 0.9573450088500977, 0.036672789603471756, -0.1979093849658966, -0.20731037855148315, 0.9995688199996948, 0.007254386320710182, 0.00019190902821719646, 0.028452960774302483, 0.9997178316116333, 0.011619397439062595, 0.015303957276046276, -0.013967256993055344, 17.874969482421875, -14.273900032043457, -5.653722763061523, -19.026710510253906, -11.322779655456543, 5.149691104888916, -4.5473480224609375, 15.587409973144531, 4.505098819732666, 6.820550918579102, 10.616169929504395, 1.4484219551086426, 0.6327196955680847, 7.691740989685059, 2.2351040840148926, 1.4200940132141113, 11.055569648742676, 1.573354959487915, 
0.6263519525527954, -0.1283726990222931, -0.473537802696228, 0.6057769060134888, 0.3849864602088928, -0.2938604950904846, 0.6840258240699768, -0.5454723834991455, 0.9731822609901428, 0.11016549170017242, 0.1872633844614029, 0.07557910680770874, 0.9586920142173767, 0.023816658183932304, -0.19390150904655457, -0.20674771070480347, 0.9995347261428833, 0.0138478372246027, -0.0004878642794210464, 0.027171114459633827, 0.9996664524078369, 0.01582704856991768, 0.014109457843005657, -0.014744297601282597, 9.728720664978027, -21.504270553588867, -6.266232013702393, -14.574629783630371, -19.724620819091797, 1.6622079610824585, -5.0309038162231445, 7.267801761627197, 4.22178316116333, 7.234074115753174, 2.4983999729156494, 2.125080108642578, 0.2159816026687622, 1.9888509511947632, -0.07735767215490341, 0.03792259097099304, 6.8264570236206055, 0.5479192137718201, 
0.661413311958313, -0.15398846566677094, -0.47296252846717834, 0.5613611936569214, 0.4230264127254486, -0.30075201392173767, 0.693386435508728, -0.4998120963573456, 0.9743092656135559, 0.09668159484863281, 0.18490207195281982, 0.08476705849170685, 0.9583200216293335, 0.00862886756658554, -0.19431917369365692, -0.2092565894126892, 0.9994732737541199, 0.018988527357578278, -0.0011974447406828403, 0.026289254426956177, 0.999639630317688, 0.017148498445749283, 0.013910829089581966, -0.01526555884629488, 1.182278037071228, -25.308820724487305, -5.282989025115967, -10.099249839782715, -25.691650390625, -3.0257740020751953, -3.722033977508545, 0.42979270219802856, 2.221129894256592, 8.491588592529297, -5.366405963897705, 1.6482919454574585, -0.2256840020418167, -2.5254459381103516, -1.9993220567703247, -1.004546046257019, 1.4738270044326782, -0.2998292148113251, 
0.6968928575515747, -0.18314659595489502, -0.4678542912006378, 0.5117714405059814, 0.46293964982032776, -0.30892306566238403, 0.6988086104393005, -0.4493550658226013, 0.9745128154754639, 0.08385439217090607, 0.18499496579170227, 0.09523741155862808, 0.9579726457595825, -0.009019148536026478, -0.19612501561641693, -0.20914588868618011, 0.9994332194328308, 0.02132336236536503, -0.0017907986184582114, 0.025989580899477005, 0.9996994733810425, 0.013552038930356503, 0.014550029300153255, -0.014336328953504562, -7.56442403793335, -27.34588050842285, -3.3309550285339355, -3.4976840019226074, -28.812820434570312, -7.040151119232178, -3.0987889766693115, -5.472233772277832, 2.1502110958099365, 1.6282520294189453, -6.771564960479736, 2.7735509872436523, -0.28724759817123413, -5.9412360191345215, -2.6949729919433594, -1.888604998588562, -4.093794822692871, -1.3348300457000732, 
0.7309110760688782, -0.21527250111103058, -0.4581315815448761, 0.4577578008174896, 0.5042890906333923, -0.3176495432853699, 0.6974747776985168, -0.3978947401046753, 0.973956286907196, 0.07095285505056381, 0.18707650899887085, 0.10666380077600479, 0.9603308439254761, -0.020460767671465874, -0.19260428845882416, -0.20062308013439178, 0.9994492530822754, 0.02094121463596821, -0.0020595656242221594, 0.025661133229732513, 0.9997721314430237, 0.007548339199274778, 0.016041908413171768, -0.0118877487257123, -14.926939964294434, -27.860279083251953, -1.8011829853057861, 4.536276817321777, -29.081480026245117, -9.090245246887207, -0.1432880014181137, -8.50607681274414, 1.0257129669189453, -0.5170869827270508, -7.103275775909424, 2.222659111022949, 0.351989209651947, -8.986092567443848, -2.311141014099121, -1.631518006324768, -7.940371990203857, -2.4386510848999023, 
0.7634019255638123, -0.2443728893995285, -0.44247499108314514, 0.4021383821964264, 0.5478733777999878, -0.324993371963501, 0.6887586712837219, -0.34615832567214966, 0.9741930961608887, 0.05626845732331276, 0.18814218044281006, 0.11128418892621994, 0.9658741354942322, -0.023452891036868095, -0.18062248826026917, -0.18415391445159912, 0.9995200634002686, 0.019027745351195335, -0.002025243593379855, 0.02436196245253086, 0.9997953772544861, 0.002400888130068779, 0.01811670884490013, -0.008672610856592655, -20.256629943847656, -25.66254997253418, 0.4843182861804962, 10.081950187683105, -28.022380828857422, -8.861098289489746, 2.3859989643096924, -9.890362739562988, 0.8529356122016907, 7.706291198730469, -7.905368804931641, -1.7011510133743286, 0.2047795057296753, -10.266030311584473, -1.2310370206832886, -0.5443009734153748, -10.704819679260254, -3.0817298889160156, 
0.7947877645492554, -0.2631132900714874, -0.4220115840435028, 0.3478362560272217, 0.5912103056907654, -0.33095115423202515, 0.6744415163993835, -0.29337748885154724, 0.9780372381210327, 0.04292680695652962, 0.17585238814353943, 0.10332618653774261, 0.9725955724716187, -0.019755689427256584, -0.16123050451278687, -0.16634990274906158, 0.9995995163917542, 0.016746677458286285, -0.0016587965656071901, 0.02275177463889122, 0.9998016953468323, -0.0004300582513678819, 0.0189534779638052, -0.006096947006881237, -23.312170028686523, -21.484140396118164, 2.11102294921875, 13.127619743347168, -27.408639907836914, -8.342482566833496, -6.854081153869629, -9.343046188354492, 3.0655388832092285, 8.395773887634277, -8.310721397399902, -5.021111011505127, -0.2854991853237152, -8.811982154846191, -0.24663719534873962, -0.47189900279045105, -12.842599868774414, -2.915976047515869, 
0.8239027857780457, -0.2726883888244629, -0.4010355770587921, 0.29325029253959656, 0.6321977376937866, -0.33526912331581116, 0.6565150618553162, -0.23855523765087128, 0.9849171042442322, 0.03767932578921318, 0.14475688338279724, 0.08697117865085602, 0.9796063303947449, -0.009553446434438229, -0.13611890375614166, -0.14748510718345642, 0.9996652603149414, 0.014848995953798294, -0.0011817816412076354, 0.021154265850782394, 0.9998148083686829, -0.00026661946321837604, 0.018552226945757866, -0.005109251942485571, -21.579389572143555, -18.284719467163086, 2.141165018081665, 15.413410186767578, -25.814220428466797, -8.26638126373291, -13.071769714355469, -6.1878662109375, 0.305809885263443, 2.4985270500183105, -6.810911178588867, -2.692962884902954, -0.4835655987262726, -7.860280990600586, 0.23622219264507294, -1.5139199495315552, -14.3996000289917, -2.6775989532470703, 
0.8483069539070129, -0.2814256548881531, -0.38200482726097107, 0.2350473701953888, 0.6700433492660522, -0.337462842464447, 0.6357761025428772, -0.18152007460594177, 0.9918285012245178, 0.03936605155467987, 0.09946926683187485, 0.06951592862606049, 0.9852792620658875, 0.004061336163431406, -0.11283350735902786, -0.12836219370365143, 0.9997057914733887, 0.014042316004633904, -0.0007111250888556242, 0.019765645265579224, 0.9998157024383545, 0.00097664853092283, 0.018228869885206223, -0.005943797063082457, -20.058469772338867, -16.19120979309082, 1.5620160102844238, 17.250999450683594, -22.614599227905273, -9.233575820922852, -7.432136058807373, -6.837804794311523, -2.1633689403533936, -0.09942179918289185, -9.011707305908203, 3.904154062271118, -0.7191054821014404, -8.933615684509277, 0.5635653138160706, -2.3069961071014404, -14.59823989868164, -2.3081839084625244, 
